District,Level,Male,Female,Total
Abbottabad,Primary,5,0,5
Bajaur,Primary,1,0,1
Bannu,Primary,4,1,5
Battagram,Primary,0,5,5
Buner,Primary,0,2,2
D.I.Khan,Primary,1,1,2
Dir Upper,Primary,1,0,1
Hangu,Primary,0,9,9
Karak,Primary,0,7,7
Khyber,Primary,9,3,12
Kohat,Primary,1,0,1
Kohistan,Primary,7,53,60
Kurram,Primary,17,7,24
Lakki Marwat,Primary,4,13,17
Mansehra,Primary,3,1,4
North Waziristan,Primary,6,6,12
Nowshera,Primary,2,1,3
Orakzai,Primary,15,5,20
Peshawar,Primary,1,2,3
South Waziristan,Primary,38,38,76
Swabi,Primary,1,0,1
Swat,Primary,0,3,3
Tank,Primary,0,2,2
Bajaur,Middle,1,0,1
Battagram,Middle,0,1,1
Khyber,Middle,3,0,3
Kohistan,Middle,1,1,2
Kurram,Middle,2,1,3
Mansehra,Middle,1,0,1
North Waziristan,Middle,0,3,3
Orakzai,Middle,1,0,1
South Waziristan,Middle,7,5,12
